Date,Close,Volume,Open,High,Low
7/1/2015,521.84,"1,961,000",524.73,525.69,518.23
7/2/2015,523.4,"1,235,900",521.08,524.65,521.08
7/6/2015,522.86,"1,280,500",519.5,525.25,519
7/7/2015,525.02,"1,597,200",523.13,526.18,515.18
7/8/2015,516.83,"1,296,700",521.05,522.73,516.11
7/9/2015,520.68,"1,839,400",523.12,523.77,520.35
7/10/2015,530.13,"1,956,700",526.29,532.56,525.55
7/13/2015,546.55,"2,206,500",532.88,547.11,532.4
7/14/2015,561.1,"3,244,100",546.76,565.85,546.71
7/15/2015,560.22,"1,784,600",560.13,566.5,556.79
7/16/2015,579.85,"4,768,300",565.12,580.68,565
7/17/2015,672.93,"11,164,900",649,674.47,645
7/20/2015,663.02,"5,860,900",659.24,668.88,653.01
7/21/2015,662.3,"3,377,200",655.21,673,654.3
7/22/2015,662.1,"3,929,300",660.89,678.64,659
7/23/2015,644.28,"3,029,100",661.27,663.63,641
7/24/2015,623.56,"3,625,700",647,648.17,622.52
7/27/2015,627.26,"2,675,400",621,634.3,620.5
7/28/2015,628,"1,727,300",632.83,632.83,623.31
7/29/2015,631.93,"1,575,100",628.8,633.36,622.65
7/30/2015,632.59,"1,474,200",630,635.22,622.05
7/31/2015,625.61,"1,706,100",631.38,632.91,625.5
8/3/2015,631.21,"1,304,500",625.34,633.06,625.34
8/4/2015,629.25,"1,490,900",628.42,634.81,627.16
8/5/2015,643.78,"2,334,300",634.33,647.86,633.16
8/6/2015,642.68,"1,572,600",645,645.38,632.25
8/7/2015,635.3,"1,403,900",640.23,642.68,629.71
8/10/2015,633.73,"1,809,200",639.48,643.44,631.25
8/11/2015,660.78,"5,029,200",669.2,674.9,654.27
8/12/2015,659.56,"2,936,700",663.08,665,652.29
8/13/2015,656.45,"1,810,700",659.32,664.5,651.66
8/14/2015,657.12,"1,072,100",655.01,659.85,652.66
8/17/2015,660.87,"1,051,700",656.8,661.38,651.24
8/18/2015,656.13,"1,456,100",661.9,664,653.46
8/19/2015,660.9,"2,131,600",656.6,667,654.19
8/20/2015,646.83,"2,855,300",655.46,662.99,642.9
8/21/2015,612.48,"4,265,200",639.78,640.05,612.33
8/24/2015,589.61,"5,770,300",573,599.33,565.05
